time,seconds_elapsed,z,y,x
1728651076594478000,0.07847802734375,0.11900000274181366,-0.14000000059604645,-0.1420000046491623
1728651076604082200,0.088082275390625,0.11900000274181366,-0.14000000059604645,-0.1420000046491623
1728651076613689600,0.097689697265625,0.38499999046325684,-0.05299999937415123,0.09700000286102295
1728651076623294700,0.107294677734375,0.25099998712539673,-0.07900000363588333,0.032999999821186066
1728651076632900000,0.116900146484375,0.25200000405311584,-0.0729999989271164,0.03400000184774399
1728651076642505200,0.126505126953125,0.3799999952316284,-0.09099999815225601,0.07500000298023224
1728651076652110300,0.1361103515625,0.25099998712539673,-0.07500000298023224,0.03200000151991844
1728651076661715500,0.145715576171875,-0.21199999749660492,0.017000000923871994,0.008999999612569809
1728651076671320800,0.15532080078125,-0.2529999911785126,0.12800000607967377,0.09200000017881393
1728651076680925400,0.164925537109375,-0.14399999380111694,0.019999999552965164,0.03700000047683716
1728651076690530000,0.174530029296875,-0.020999999716877937,-0.07199999690055847,0.04899999871850014
1728651076700135200,0.18413525390625,-0.3199999928474426,0.06599999964237213,0.2540000081062317
1728651076709740300,0.193740234375,-0.18400000035762787,0.05400000140070915,0.050999999046325684
1728651076719345700,0.203345703125,0.1420000046491623,-0.014000000432133675,0.023000000044703484
1728651076728950800,0.21295068359375,0.34599998593330383,-0.23399999737739563,-0.1120000034570694
1728651076738556000,0.222555908203125,0.11500000208616257,-0.24799999594688416,-0.12200000137090683
1728651076748161300,0.232161376953125,-0.3330000042915344,-0.06700000166893005,0.0729999989271164
1728651076757767700,0.241767578125,-0.4819999933242798,0.08900000154972076,0.1720000058412552
1728651076767372800,0.251372802734375,0.008999999612569809,-0.052000001072883606,0.09099999815225601
1728651076776978000,0.26097802734375,0.2680000066757202,-0.18199999630451202,0.023000000044703484
1728651076786583000,0.2705830078125,0.09200000017881393,-0.13699999451637268,0.14800000190734863
1728651076796188400,0.2801884765625,-0.08299999684095383,-0.10700000077486038,0.22100000083446503
1728651076805793300,0.289793212890625,0.07900000363588333,-0.1599999964237213,0.1589999943971634
1728651076815398700,0.299398681640625,0.296999990940094,-0.07400000095367432,0.00800000037997961
1728651076825003800,0.309003662109375,0.09399999678134918,-0.08500000089406967,0.04500000178813934
1728651076834609200,0.318609130859375,-0.2720000147819519,0.039000000804662704,0.12999999523162842
1728651076844214300,0.32821435546875,-0.39399999380111694,0.15199999511241913,0.16699999570846558
1728651076853819400,0.3378193359375,-0.0689999982714653,0.18400000035762787,0.16200000047683716
1728651076863424500,0.347424560546875,0.14900000393390656,0.20000000298023224,0.19300000369548798
1728651076873029600,0.357029541015625,0.2680000066757202,0.20999999344348907,0.07000000029802322
1728651076882635000,0.366635009765625,0.4320000112056732,0.14100000262260437,0.061000000685453415
1728651076892240100,0.376240234375,0.3889999985694885,-0.027000000700354576,0.2630000114440918
1728651076901845200,0.38584521484375,0.32100000977516174,-0.12700000405311584,0.20100000500679016
1728651076911450600,0.39545068359375,0.020999999716877937,-0.10899999737739563,0.23100000619888306
1728651076921055700,0.4050556640625,-0.45399999618530273,0.024000000208616257,0.33399999141693115
1728651076930661000,0.4146611328125,-0.7570000290870667,0.25999999046325684,0.6389999985694885
1728651076940266000,0.424265869140625,-0.22599999606609344,0.05400000140070915,0.4699999988079071
1728651076949871400,0.433871337890625,0.9139999747276306,0.04600000008940697,0.007000000216066837
1728651076959476500,0.4434765625,1.1970000267028809,-0.04699999839067459,0.13600000739097595
1728651076969081600,0.45308154296875,1.0570000410079956,-0.28299999237060547,0.8050000071525574
1728651076978686700,0.462686767578125,0.22300000488758087,-0.3050000071525574,0.7979999780654907
1728651076988291800,0.472291748046875,-0.4970000088214874,-0.23999999463558197,0.8169999718666077
1728651076997897200,0.481897216796875,-1.3550000190734863,-0.04100000113248825,0.24400000274181366
1728651077007502300,0.49150244140625,-0.4819999933242798,-0.22499999403953552,0.5210000276565552
1728651077017107500,0.501107421875,0.18400000035762787,-0.24500000476837158,0.2639999985694885
1728651077026712600,0.510712646484375,0.7289999723434448,-0.33500000834465027,0.3869999945163727
1728651077036318000,0.52031787109375,0.10100000351667404,-0.44999998807907104,0.7940000295639038
1728651077045923000,0.529923095703125,-0.9150000214576721,-0.2669999897480011,0.5659999847412109
1728651077055528200,0.539528076171875,-0.8880000114440918,-0.07400000095367432,0.16500000655651093
1728651077065133300,0.54913330078125,-0.2750000059604645,0.07400000095367432,-0.21899999678134918
1728651077074738400,0.558738525390625,0.609000027179718,-0.09200000017881393,-0.2540000081062317
1728651077084343800,0.56834375,0.7730000019073486,-0.26600000262260437,-0.25699999928474426
1728651077093949000,0.577948974609375,-0.0430000014603138,-0.29499998688697815,-0.16500000655651093
1728651077103554000,0.587553955078125,-0.7889999747276306,-0.10899999737739563,0
1728651077113159400,0.597159423828125,-0.9369999766349792,0.21199999749660492,0.3799999952316284
1728651077122764300,0.606764404296875,-0.3109999895095825,0.19599999487400055,0.2329999953508377
1728651077132369700,0.61636962890625,0.5329999923706055,0.039000000804662704,0.15299999713897705
1728651077141974800,0.625974853515625,0.3149999976158142,-0.03700000047683716,0.14300000667572021
1728651077151580200,0.635580078125,0.003000000026077032,-0.04399999976158142,0.06400000303983688
1728651077161185300,0.645185302734375,0.004000000189989805,-0.009999999776482582,0.06300000101327896
1728651077170790100,0.6547900390625,0.19499999284744263,-0.01899999938905239,0.027000000700354576
1728651077180395500,0.6643955078125,0.4399999976158142,-0.008999999612569809,-0.028999999165534973
1728651077190000600,0.674000732421875,0.3449999988079071,-0.008999999612569809,-0.04699999839067459
