time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1728651083459000000,6.943,45,1.5,2.9223220348358154,37.814998626708984,0.23527148365974426,286.44036865234375,70.9000015258789,13.475599,52.5136853
1728651086778000000,10.261999755859375,45,1.5,2.9223220348358154,186.1739959716797,0.236547589302063,286.44036865234375,70.9000015258789,13.4755877,52.5136873
1728651091805000000,15.289,45,1.5,2.9223220348358154,410.8810119628906,0.23351380228996277,286.44036865234375,70.9000015258789,13.4755714,52.5136902
1728651096838000000,20.322000244140625,45,1.5,2.9223220348358154,305.3949890136719,0.21603775024414062,286.44036865234375,70.9000015258789,13.4755585,52.5136925
1728651101864000000,25.348,45,1.5,2.9223220348358154,405.9150085449219,0.15311315655708313,286.44036865234375,70.9000015258789,13.4755509,52.5136939
1728651106886000000,30.370000244140623,0,1.5,2.9223220348358154,506.35400390625,0.06530868262052536,0,70.9000015258789,13.4755525,52.5136936
1728651111930000000,35.41399975585937,0,1.5,2.9223220348358154,607.2349853515625,0.007138395681977272,0,70.9000015258789,13.4755602,52.5136922
1728651116961000000,40.445,0,1.5,2.9223220348358154,707.85498046875,0.050149112939834595,0,70.9000015258789,13.4755693,52.5136906
1728651122002000000,45.485999755859375,0,1.5,2.9223220348358154,808.6749877929688,0.069300077855587,0,70.9000015258789,13.4755771,52.5136892
1728651128489000000,51.973,45,1.5,26.625600814819336,123.30699920654297,0,0,74.4000015258789,13.4861741,52.5125695
1728651133479000000,56.963,45,1.5,1.8703590631484985,30.704999923706055,0.29418015480041504,99.44366455078125,72.19999694824219,13.486722,52.512514
1728651138586000000,62.06999975585938,45,1.5,1.8964102268218994,39.11899948120117,2.0681450366973877,100.4296646118164,72,13.4869703,52.5124861
1728651143492000000,66.976,45,1.5,1.7264437675476074,32.400001525878906,3.4135351181030273,101.41510772705078,71.80000305175781,13.4873155,52.5124419
1728651148579000000,72.063,45,1.5,1.456188678741455,26.424999237060547,2.314836025238037,100.40638732910156,71.80000305175781,13.4873939,52.5124364
1728651153582000000,77.06600024414062,45,1.5,1.4565426111221313,26.14299964904785,1.3132281303405762,100.08660125732422,71.80000305175781,13.4873928,52.5124373
1728651158641000000,82.125,45,1.5,1.373712420463562,24.788999557495117,0.5318449139595032,99.64100646972656,71.80000305175781,13.4873532,52.512442
1728651163628000000,87.112,45,1.5,1.6022359132766724,25.39299964904785,0.14162826538085938,98.3122787475586,71.80000305175781,13.4873244,52.5124454
1728651168967000000,92.451,45,1.5,1.50824773311615,32.21200180053711,0.16682705283164978,116.60529327392578,71.80000305175781,13.4873371,52.5124384
1728651173698000000,97.18199975585938,45,1.5,5.1422834396362305,40.555999755859375,0.4982345998287201,70.35728454589844,71.80000305175781,13.4874068,52.5124625
1728651177264000000,100.748,45,1.5,5.1422834396362305,120.22000122070312,0.5432601571083069,68.31693267822266,71.80000305175781,13.4874384,52.5124718
1728651182278000000,105.76200024414062,45,1.5,5.1422834396362305,220.5,0.5506821274757385,67.46932220458984,71.80000305175781,13.4874767,52.5124823
1728651187309000000,110.793,45,1.5,5.1422834396362305,321.1199951171875,0.5457996726036072,66.90460968017578,71.80000305175781,13.4875128,52.5124923
1728651192331000000,115.815,45,1.5,5.1422834396362305,421.5589904785156,0.5340992212295532,66.46002197265625,71.80000305175781,13.4875462,52.5125019
1728651197442000000,120.92599975585938,45,1.5,5.1422834396362305,523.780029296875,0.517765462398529,66.08036041259766,71.80000305175781,13.4875775,52.512511
1728651202364000000,125.848,45,1.5,5.1422834396362305,622.219970703125,0.49832531809806824,65.73856353759766,71.80000305175781,13.4876045,52.512519
1728651207387000000,130.871,45,1.5,5.1422834396362305,722.6799926757812,0.47659310698509216,65.42107391357422,71.80000305175781,13.4876292,52.5125265
1728651212411000000,135.895,45,1.5,5.1422834396362305,823.1599731445312,0.45327839255332947,65.11894226074219,71.80000305175781,13.4876508,52.5125333
1728651218929000000,142.413,45,1.5,3.4729044437408447,48.900001525878906,0,0,72.9000015258789,13.4981481,52.5111901
1728651223902000000,147.38600024414063,0,1.5,1.2828179597854614,31.674999237060547,0.04391394555568695,0,72.9000015258789,13.4981399,52.5111986
1728651229030000000,152.51400024414062,45,1.5,1.8467200994491577,21.267000198364258,0.2421327829360962,123.32170104980469,72.9000015258789,13.498161,52.5111899
1728651233982000000,157.46600024414062,45,1.5,1.5228164196014404,20.006000518798828,0.12894363701343536,118.73654174804688,72.9000015258789,13.4981632,52.51119
1728651238969000000,162.453,45,1.5,1.5055943727493286,17.847000122070312,0.13528984785079956,114.58443450927734,72.9000015258789,13.4981731,52.5111878
1728651244090000000,167.57399975585938,0,1.5,1.4701251983642578,16.913999557495117,0.09684613347053528,0,72.9000015258789,13.4981776,52.5111877
1728651249155000000,172.639,0,1.5,1.4256925582885742,15.560999870300293,0.003950302954763174,0,72.9000015258789,13.4981702,52.5111896
1728651254118000000,177.6020002441406,0,1.5,1.4421665668487549,17.16200065612793,0.05195329338312149,0,72.9000015258789,13.4981774,52.5111913
1728651259154000000,182.63799975585937,0,1.5,1.4219701290130615,17.020000457763672,0.025164706632494926,0,72.9000015258789,13.4981677,52.5111921
1728651264172000000,187.656,45,1.5,1.4733792543411255,19.235000610351562,0.1409253627061844,69.11750793457031,72.9000015258789,13.4981781,52.5111945
1728651269224000000,192.708,45,1.5,1.666414499282837,21.086999893188477,0.24083618819713593,241.37677001953125,72.9000015258789,13.4981604,52.5111887
